seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
0,imagenet,ce,50,random_rescue_10,4,0.96,0.98,0.06976136,0.025,0.7346428571428573,0.17678611684951417,10.0
0,imagenet,ce,50,foreground_rescue_10,0,0.945,0.98,0.07789998,0.04,0.6812244897959183,0.03180385009051731,3.02
0,imagenet,ce,50,foreground_rescue_10,1,0.945,0.98,0.07380982,0.04,0.6812244897959183,0.03180385009051731,3.02
0,imagenet,ce,50,foreground_rescue_10,2,0.945,0.98,0.076636255,0.04,0.6812244897959183,0.03180385009051731,3.02
0,imagenet,ce,50,foreground_rescue_10,3,0.95,0.98,0.078533076,0.035,0.6812244897959183,0.03180385009051731,3.02
0,imagenet,ce,50,foreground_rescue_10,4,0.945,0.98,0.08134579,0.04,0.6812244897959183,0.03180385009051731,3.02
0,imagenet,ce,50,low_score_rescue_10,0,0.94,0.98,0.09455076,0.045,0.7202551020408162,0.11262470600811232,10.0
0,imagenet,ce,50,low_score_rescue_10,1,0.945,0.98,0.100469485,0.04,0.7198469387755102,0.11226392953027085,10.0
0,imagenet,ce,50,low_score_rescue_10,2,0.94,0.98,0.09117771,0.045,0.7199489795918368,0.11225163958377762,10.0
0,imagenet,ce,50,low_score_rescue_10,3,0.94,0.98,0.10388045,0.045,0.7201020408163266,0.11183294390985063,10.0
0,imagenet,ce,50,low_score_rescue_10,4,0.935,0.98,0.101907656,0.05,0.7201020408163266,0.11283579724990038,10.0
0,imagenet,ce,50,random_matched,0,0.945,0.98,0.08982866,0.04,0.7222448979591838,0.11297080668589742,3.02
0,imagenet,ce,50,random_matched,1,0.95,0.98,0.07329752,0.035,0.7214285714285714,0.11188649867977005,3.02
0,imagenet,ce,50,random_matched,2,0.94,0.98,0.08804477,0.045,0.7226530612244898,0.11508259575451626,3.02
0,imagenet,ce,50,random_matched,3,0.94,0.98,0.09677906,0.045,0.7220918367346938,0.11474696633367044,3.02
0,imagenet,ce,50,random_matched,4,0.95,0.98,0.07415956,0.035,0.7204591836734693,0.11038384544481364,3.02
0,imagenet,ce,75,student,0,0.955,0.98,0.081569865,0.035,0.7114795918367346,0.0949351062880036,0.0
0,imagenet,ce,75,student,1,0.955,0.98,0.081569865,0.035,0.7114795918367346,0.0949351062880036,0.0
0,imagenet,ce,75,student,2,0.955,0.98,0.081569865,0.035,0.7114795918367346,0.0949351062880036,0.0
0,imagenet,ce,75,student,3,0.955,0.98,0.081569865,0.035,0.7114795918367346,0.0949351062880036,0.0
0,imagenet,ce,75,student,4,0.955,0.98,0.081569865,0.035,0.7114795918367346,0.0949351062880036,0.0
0,imagenet,ce,75,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,ce,75,random,1,0.965,0.98,0.06002661,0.02,0.8235204081632653,0.4946262972715817,0.0
0,imagenet,ce,75,random,2,0.945,0.98,0.086035594,0.035,0.8219387755102041,0.47777470733476307,0.0
0,imagenet,ce,75,random,3,0.93,0.98,0.11281219,0.05,0.822857142857143,0.4756299304983063,0.0
0,imagenet,ce,75,random,4,0.945,0.98,0.12285635,0.04,0.8268877551020407,0.5175266882325791,0.0
0,imagenet,ce,75,random_rescue_10,0,0.945,0.98,0.08477606,0.035,0.7338775510204081,0.18572402015569503,10.0
0,imagenet,ce,75,random_rescue_10,1,0.945,0.98,0.091369726,0.04,0.7348979591836735,0.17727589332839094,10.0
0,imagenet,ce,75,random_rescue_10,2,0.94,0.98,0.09374781,0.045,0.7342346938775509,0.17213671003691663,10.0
0,imagenet,ce,75,random_rescue_10,3,0.965,0.98,0.07060876,0.025,0.7362244897959184,0.1864691810099975,10.0
0,imagenet,ce,75,random_rescue_10,4,0.965,0.98,0.045856338,0.02,0.7330612244897959,0.1663363488934387,10.0
0,imagenet,ce,75,foreground_rescue_10,0,0.95,0.98,0.065143965,0.035,0.6804591836734692,0.030429515777909442,3.04
0,imagenet,ce,75,foreground_rescue_10,1,0.95,0.98,0.07175331,0.035,0.6804591836734692,0.030429515777909442,3.04
0,imagenet,ce,75,foreground_rescue_10,2,0.95,0.98,0.06680325,0.035,0.6804591836734692,0.030429515777909442,3.04
0,imagenet,ce,75,foreground_rescue_10,3,0.955,0.98,0.05646758,0.03,0.6804591836734692,0.030429515777909442,3.04
0,imagenet,ce,75,foreground_rescue_10,4,0.955,0.98,0.054647584,0.03,0.6804591836734692,0.030429515777909442,3.04
0,imagenet,ce,75,low_score_rescue_10,0,0.95,0.98,0.09849769,0.035,0.7198979591836735,0.1121081939902493,10.0
0,imagenet,ce,75,low_score_rescue_10,1,0.96,0.98,0.10556466,0.03,0.7197448979591837,0.11143006933340811,10.0
0,imagenet,ce,75,low_score_rescue_10,2,0.955,0.98,0.094361074,0.035,0.7195408163265307,0.11256894070720251,10.0
0,imagenet,ce,75,low_score_rescue_10,3,0.95,0.98,0.083272286,0.04,0.719030612244898,0.11065166995862276,10.0
0,imagenet,ce,75,low_score_rescue_10,4,0.945,0.98,0.10458695,0.04,0.720204081632653,0.1130425551255643,10.0
0,imagenet,ce,75,random_matched,0,0.955,0.98,0.071928754,0.035,0.7224489795918367,0.11320082321275521,3.04
0,imagenet,ce,75,random_matched,1,0.96,0.98,0.075359456,0.03,0.7219387755102042,0.11281714662927675,3.04
0,imagenet,ce,75,random_matched,2,0.955,0.98,0.08134659,0.035,0.7209693877551021,0.11074947483789475,3.04
0,imagenet,ce,75,random_matched,3,0.96,0.98,0.08676107,0.03,0.7217857142857143,0.11382727951895018,3.04
0,imagenet,ce,75,random_matched,4,0.965,0.98,0.05689777,0.025,0.7208163265306122,0.1112668030554324,3.04
0,imagenet,ce,100,student,0,0.955,0.98,0.08717087,0.03,0.7115816326530612,0.09465999335880841,0.0
0,imagenet,ce,100,student,1,0.955,0.98,0.08717087,0.03,0.7115816326530612,0.09465999335880841,0.0
0,imagenet,ce,100,student,2,0.955,0.98,0.08717087,0.03,0.7115816326530612,0.09465999335880841,0.0
0,imagenet,ce,100,student,3,0.955,0.98,0.08717087,0.03,0.7115816326530612,0.09465999335880841,0.0
0,imagenet,ce,100,student,4,0.955,0.98,0.08717087,0.03,0.7115816326530612,0.09465999335880841,0.0
0,imagenet,ce,100,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,ce,100,random,1,0.965,0.98,0.06002661,0.02,0.8235204081632653,0.4946262972715817,0.0
0,imagenet,ce,100,random,2,0.945,0.98,0.086035594,0.035,0.8219387755102041,0.47777470733476307,0.0
0,imagenet,ce,100,random,3,0.93,0.98,0.11281219,0.05,0.822857142857143,0.4756299304983063,0.0
0,imagenet,ce,100,random,4,0.945,0.98,0.12285635,0.04,0.8268877551020407,0.5175266882325791,0.0
