seed,initialization,method,epoch,lr,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,imagenet,ce,23,4.615086064971153e-05,0.9639999999999999,0.964,0.5054368581771851,47,90.71958387293853,107.03193063591607,0.0,0.0,0.0
0,imagenet,ce,24,4.5698818228373126e-05,0.9639999999999999,0.964,0.5063393298784892,47,91.05825849203393,107.14705883408897,0.0,0.0,0.0
0,imagenet,ce,25,4.522421630162529e-05,0.9640000000000001,0.964,0.5062805835405986,47,90.54372119996697,114.93460049293935,0.0,0.0,0.0
0,imagenet,ce,26,4.4727584939327193e-05,0.9620000000000001,0.962,0.5060518817901611,47,90.13018720201217,106.30575255397707,0.0,0.0,0.0
0,imagenet,ce,27,4.420947881540964e-05,0.9640000000000001,0.964,0.5080667471885681,47,90.66461022291332,106.9699496589601,0.0,0.0,0.0
0,imagenet,ce,28,4.3670476588374966e-05,0.9589999999999999,0.959,0.5082519068717957,47,90.2599653210491,106.26617759210058,0.0,0.0,0.0
0,imagenet,ce,29,4.311118025500927e-05,0.959,0.959,0.508343665599823,47,90.44821799802594,106.34936647396535,0.0,0.0,0.0
0,imagenet,ce,30,4.253221447802874e-05,0.9649999999999999,0.965,0.5054010135332744,47,90.9237415860407,106.99210337293334,0.0,0.0,0.0
0,imagenet,ce,31,4.193422588841098e-05,0.9559999999999998,0.956,0.5053928937911988,47,90.68710779584944,106.81618747697212,0.0,0.0,0.0
0,imagenet,ce,32,4.1317882363190655e-05,0.9569999999999999,0.957,0.5067447535196941,47,90.68572206608951,106.98499511298724,0.0,0.0,0.0
0,imagenet,ce,33,4.0683872279526e-05,0.9630000000000001,0.963,0.5050374720891316,47,91.38177835894749,107.56144642899744,0.0,0.0,0.0
0,imagenet,ce,34,4.00329037458692e-05,0.9560000000000001,0.956,0.5092906913757325,47,90.06784542603418,106.29827957111411,0.0,0.0,0.0
0,imagenet,ce,35,3.936570381109958e-05,0.9620000000000001,0.962,0.5044870642026266,47,90.66970285982825,106.39207331486978,0.0,0.0,0.0
0,imagenet,ce,36,3.868301765250263e-05,0.9639999999999999,0.964,0.5041072072982788,47,90.40460908203386,107.03212997107767,0.0,0.0,0.0
0,imagenet,ce,37,3.798560774350198e-05,0.96,0.96,0.5060713397661845,47,91.44407149916515,107.47480765497312,0.0,0.0,0.0
0,imagenet,ce,38,3.7274253002073755e-05,0.967,0.967,0.503834844271342,47,90.72566761192866,106.98950627609156,0.0,0.0,0.0
0,imagenet,ce,39,3.6549747920794496e-05,0.967,0.967,0.5049364733695983,47,90.79304011492059,107.13003339595161,0.0,0.0,0.0
0,imagenet,ce,40,3.581290167949421e-05,0.967,0.967,0.5041094228426616,47,90.27984414598905,106.35959972208366,0.0,0.0,0.0
0,imagenet,ce,41,3.5064537241505625e-05,0.9640000000000001,0.964,0.5032689552307129,47,90.4440926599782,106.69289094000123,0.0,0.0,0.0
0,imagenet,ce,42,3.4305490434519064e-05,0.9649999999999999,0.965,0.5038554039001465,47,90.64237387990579,106.89297213312238,0.0,0.0,0.0
