seed,initialization,method,epoch,lr,active_method,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,scratch,full,14,0.000491135059176067,full,0.5250000000000001,0.525,1.1561331510543824,47,93.5225605929736,108.98030100110918,0.0,0.0,0.0
0,scratch,full,15,0.0004887980730531247,full,0.541,0.541,1.120749132156372,47,94.3904899279587,109.83876937790774,0.0,0.0,0.0
0,scratch,full,16,0.00048619493835617576,full,0.537,0.537,1.0965375858942668,47,95.28313561202958,110.88743553706445,0.0,0.0,0.0
0,scratch,full,17,0.00048332856245487986,full,0.577,0.577,1.0682106488545735,47,93.64259601803496,109.7093501270283,0.0,0.0,0.0
0,scratch,full,18,0.000480202146725769,full,0.572,0.572,1.0345095717112223,47,94.24745504790917,110.34342454792932,0.0,0.0,0.0
0,scratch,full,19,0.00047681918297671805,full,0.5730000000000002,0.573,1.022119141101837,47,94.25759773002937,110.14120264817029,0.0,0.0,0.0
0,scratch,full,20,0.0004731834495470404,full,0.5940000000000001,0.594,0.984728964805603,47,94.25924345501699,109.67526394012384,0.0,0.0,0.0
0,scratch,full,21,0.00046929900708756454,full,0.5609999999999999,0.561,0.9664143896102906,47,94.56718076695688,109.94608638016507,0.0,0.0,0.0
0,scratch,full,22,0.0004651701940254048,full,0.581,0.581,0.9364932168324789,47,94.53982238494791,109.88786752382293,0.0,0.0,0.0
0,scratch,full,23,0.00046080162171849087,full,0.591,0.591,0.9050595890680949,47,94.43401973415166,110.18871465092525,0.0,0.0,0.0
0,scratch,full,24,0.0004561981693052692,full,0.5809999999999998,0.581,0.874906938234965,47,93.65642427490093,109.21392617817037,0.0,0.0,0.0
0,scratch,full,25,0.00045136497825532695,full,0.591,0.591,0.8626360432306925,47,94.30660147499293,117.29533368907869,0.0,0.0,0.0
0,scratch,full,26,0.00044630744662702595,full,0.5919999999999999,0.592,0.8369712505340576,47,93.70528817293234,109.13163711200468,0.0,0.0,0.0
0,scratch,full,27,0.0004410312230385594,full,0.581,0.581,0.8149121705691019,47,93.03331661783159,108.59220451791771,0.0,0.0,0.0
0,scratch,full,28,0.0004355422003591655,full,0.5740000000000001,0.574,0.7855807377497355,47,93.98916878784075,109.25464782398194,0.0,0.0,0.0
0,scratch,full,29,0.0004298465091275434,full,0.58,0.58,0.7494623149236044,47,93.64234520797618,109.01196406804956,0.0,0.0,0.0
0,scratch,full,30,0.0004239505107048233,full,0.5740000000000001,0.574,0.7478582434654236,47,93.64548829011619,109.15268404781818,0.0,0.0,0.0
0,scratch,full,31,0.00041786079016973627,full,0.571,0.571,0.7071296986738841,47,93.98561921902001,109.56233213306405,0.0,0.0,0.0
0,scratch,full,32,0.00041158414896392116,full,0.595,0.595,0.7021682346661886,47,93.45617433195002,109.10771397990175,0.0,0.0,0.0
0,scratch,full,33,0.00040512759729558113,full,0.585,0.585,0.6727514456113179,47,93.50120593095198,108.81277617509477,0.0,0.0,0.0
0,scratch,full,34,0.00039849834630997414,full,0.594,0.594,0.6452493239243825,47,94.72234089393169,110.09640688612126,0.0,0.0,0.0
0,scratch,full,35,0.0003917038000354835,full,0.584,0.584,0.6173492250442505,47,94.19801142788492,109.53592887893319,0.0,0.0,0.0
0,scratch,full,36,0.0003847515471142615,full,0.567,0.567,0.6143131647109985,47,93.43876345502213,108.92322269594297,0.0,0.0,0.0
0,scratch,full,37,0.00037764935232668343,full,0.576,0.576,0.5911024265289306,47,93.9750584969297,109.33726159087382,0.0,0.0,0.0
0,scratch,full,38,0.0003704051479190776,full,0.592,0.592,0.5527604507605235,47,94.2752175370697,109.68022135715,0.0,0.0,0.0
0,scratch,full,39,0.00036302702474441743,full,0.576,0.576,0.5502500378290812,47,94.61154847498983,110.0708200680092,0.0,0.0,0.0
0,scratch,full,40,0.0003555232232258696,full,0.5780000000000001,0.578,0.5312443181673686,47,93.87258203397505,109.29230209300295,0.0,0.0,0.0
0,scratch,full,41,0.00034790212415329195,full,0.583,0.583,0.5262992388407389,47,95.11438421695493,110.70624896511436,0.0,0.0,0.0
0,scratch,full,42,0.0003401722393229594,full,0.5860000000000001,0.586,0.4982756175994873,47,94.32924180384725,109.76805971888825,0.0,0.0,0.0
0,scratch,full,43,0.0003323422020309725,full,0.572,0.572,0.4857609295845032,47,94.5460851630196,109.90566408098675,0.0,0.0,0.0
0,scratch,full,44,0.0003244207574309657,full,0.582,0.582,0.4796340826352437,47,91.6526069289539,107.49536527507007,0.0,0.0,0.0
